1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,iso3,lat,lon,name,,,,,
,,,500000,1734921,3879984,4488214,4712735,4417651,4653193,5094283,5511740,5622982,5643989,6339095,6306301,4552153,3374576,2731169,2679133,2674236,2676674,2667115,2601691,3587336,3809767,2510294,2136043,2414468,2166149,2107519,3057661,2833128,2887123,3054709,2664436,2586152,2556502,2596270,2666305,2501445,2624225,AFG,33.93911,67.709953,Afghanistan,,,,,
,2000,1980,1610,1681,1680,1645,1610,1576,1587,90,129,358,367,1822,3540,4353,4744,5019,5803,5785,5379,5353,6288,6802,7626,10761,10385,10478,12722,14079,15340,15006,15711,14772,13551,12568,10103,10158,10408,11065,12163,ALB,41.153332,20.168331,Albania,,,,,
,,,,2,3,3,3,3,3,1,1,5,6,19,55,71,86,20743,1520,2247,3418,5727,7151,8034,8418,12107,11667,10673,12041,8353,10615,9060,8185,6689,6121,5677,3660,3524,3490,3726,3991,DZA,28.033886,1.659626,Algeria,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,ASM,-14.305941,-170.6962002,American Samoa,,,,,
,,,,,,,,,,,,,,,,,,2,2,3,1,2,3,2,1,10,10,3,9,10,9,6,6,6,6,7,5,7,5,2,0,AND,42.506285,1.521801,Andorra,,,,,
499190,529830,646110,652980,449030,457060,465891,298110,357821,317392,355412,391733,407566,408692,407760,381636,300492,323831,282577,246657,249687,267696,319430,353478,433760,470625,435421,329583,228851,215827,206501,186155,171393,141021,134858,128664,19258,10286,9484,11869,8404,8267,AGO,-11.202692,17.873887,Angola,,,,,
,,,,,,,,,,,,,,,,,,,,,1,2,2,1,4,5,5,13,13,19,25,26,28,30,32,45,49,53,56,83,94,ATG,17.060816,-61.796428,Antigua and Barbuda,,,,,
,,,,38,38,1019,42,42,51,52,47,46,103,334,198,113,98,469,330,217,159,142,586,609,659,771,784,796,856,894,1171,1047,608,557,518,447,388,318,194,128,111,ARG,-38.416097,-63.616672,Argentina,,,,,
,440,420,700,333,333,733,333,333,333,528,208,301,1,1,1,195003,200116,201842,201442,203231,203690,193150,193231,5786,7207,13249,13162,13410,13965,14917,15436,16336,18000,17547,16487,15935,11998,11848,11214,10719,10766,ARM,40.069099,45.038189,Armenia,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ABW,12.52111,-69.968338,Aruba,,,,,
,,,,,,,,,,,,,,,,,,2,1,1,2,1,3,3,1,10,15,13,44,29,63,43,28,37,39,48,28,25,20,14,0,AUS,-25.274398,133.775136,Australia,,,,,
,,,,,,,,,,,,,,,,,,60,49,52,55,60,48,35,29,72,66,47,66,34,23,14,12,10,11,12,10,10,4,6,0,AUT,47.516231,14.550072,Austria,,,,,
,,,,,,,,,,,,,,,,300000,328005,299095,200520,236086,234950,329657,311131,284277,268759,260214,253255,250589,233675,126068,15916,16319,16939,16753,16162,15537,10814,10515,9710,10112,10878,AZE,40.143105,47.576927,Azerbaijan,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,1,1,,1,1,1,1,14,14,15,15,17,185,196,210,215,215,299,373,BHS,25.03428,-77.39628,Bahamas,,,,,
,,,,,,,,,,,,,,39,52,53,60,75,71,63,82,97,129,95,46,50,52,52,41,62,73,80,79,87,215,297,275,347,421,462,487,BHR,26.0667,50.5577,Bahrain,,,,,
,,,,,,,,,,,2,6,6,477,611,53921,57158,56199,56956,57959,44373,4658,4468,5401,5548,5808,5565,5731,7304,7803,10243,10098,10432,10049,10056,10161,9728,10883,12173,13850,16755,BGD,23.684994,90.356331,Bangladesh,,,,,
,,,,,,,,,,,,,,,,,,4,3,2,3,5,4,8,7,9,11,7,8,28,38,34,29,32,45,55,67,86,99,148,167,BRB,13.193887,-59.543198,Barbados,,,,,
,,,,,,,,,,,,,,,,,2,37,84,501,303,290,1507,2519,3696,6364,7815,8231,8857,9371,4970,5384,5525,5743,5925,6191,4397,4300,4125,3840,3635,BLR,53.709807,27.953389,Belarus,,,,,
,,,,,,,,,,,,,,,,,,2,3,5,10,14,16,19,13,27,40,45,95,64,60,61,71,83,90,93,78,75,65,45,52,BEL,50.503887,4.469936,Belgium,,,,,
,,,,,,,,,,,,,,,,,,8,8,3,,,11,12,,1,10,9,8,18,17,20,17,23,32,39,40,45,51,57,59,BLZ,17.189877,-88.49765,Belize,,,,,
100,,200,200,,,,,,,50,50,50,62,2,4,4,68,77,54,46,46,56,52,54,55,232,282,309,411,215,271,318,411,442,461,457,302,340,412,489,557,BEN,9.30769,2.315834,Benin,,,,,
,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,2,,,,,,,,,,,0,,BMU,32.3078,-64.7505,Bermuda,,,,,
,,,,,,,,,,,,,,,9504,75442,85334,103271,104750,106822,108703,105689,107619,108945,110845,112523,103978,105255,106537,108073,110598,104965,89070,75070,57989,41590,31567,23642,17720,11757,7929,BTN,27.514162,90.433601,Bhutan,,,,,
60,,,,170,101,271,1,1,1,1,1,2,28,731,67,28,41,177,180,177,161,183,174,175,156,219,264,285,269,374,428,454,573,590,611,618,601,600,571,537,505,BOL,-16.290154,-63.588653,Bolivia (Plurinational State of),,,,,
,,,,,,,,,,,,,,,,437501,618427,776084,769753,993868,849241,640075,598193,504981,447321,406448,300006,228807,109930,199946,78273,74366,70018,63004,58578,51822,26790,21888,18769,18199,17669,BIH,43.915886,17.679076,Bosnia and Herzegovina,,,,,
,,,,,,,,,,,,,3,3,3,3,4,21,25,23,17,16,10,3,2,5,5,6,4,11,16,26,30,53,85,127,168,237,308,272,279,BWA,-22.328474,24.684866,Botswana,,,,,
,,,,5,5,5,5,5,5,3,1,1,6,14,11,11,12,41,53,85,104,136,196,224,254,441,378,403,370,707,1624,1404,973,994,1045,1076,985,977,895,809,836,BRA,-14.235004,-51.92528,Brazil,,,,,
,,,,,,,,,,,,,,,,,,,3,,,,,,,2,1,1,49,2,2,1,1,1,1,1,1,1,0,1,0,BRN,4.535277,114.727669,Brunei Darussalam,,,,,
,,290,,329,274,257,227,183,190,160,138,898,869,1922,2735,2981,3155,4689,4156,3246,3048,3122,2653,2404,2121,2841,2567,2231,4254,3438,3311,3040,2745,2559,2327,2147,1880,1648,1269,805,716,BGR,42.733883,25.48583,Bulgaria,,,,,
,,,,,,,,50,90,110,50,,2,2,8,61,63,67,63,72,118,103,106,130,98,978,853,577,607,377,558,725,990,1145,1271,1460,1584,1857,2148,2357,2679,BFA,12.238333,-1.561593,Burkina Faso,,,,,
