Asylum Country	Latitude (generated)	Longitude (generated)	Refugees
Zimbabwe	-19.098	30.047	1580720
Zambia	-15.13	25.268	4749596
Yemen	15.569	47.793	3758859
Viet Nam	21.75	105.373	764993
Venezuela (Bolivarian Republic of)	6.983	-64.588	2168393
Vanuatu	-15.339	166.89	16
Uzbekistan	41.757	63.958	287690
Uruguay	-32.948	-56.249	14373
United States of America	40.0792	-98.8164	19802170
United Rep. of Tanzania	-5.651	34.146	14589065
United Kingdom	52.289	-1.259	6525132
United Arab Emirates	23.9299	53.9031	64323
Ukraine	49.364	32.132	92986
Uganda	1.9392	32.7415	9905500
Turks and Caicos Islands	21.816	-71.799	16
Turkmenistan	39.584	59.597	200528
Turkey	39.144	34.188	11653261
Tunisia	35.594	9.421	12810
Trinidad and Tobago	10.448	-61.257	753
Tonga	-21.167	-175.19	8
Togo	7.7	1.106	347196
Timor-Leste	-8.856	125.556	17
The former Yugoslav Republic of Macedonia	41.636	21.676	150486
Thailand	15.688	100.845	5050770
Tajikistan	38.367	72.597	82965
Syrian Arab Rep.			7377643
Switzerland	46.7794	8.0329	2158236
Sweden	66.2188	19	4716441
Swaziland	-26.596	31.47	353947
Suriname	4.248	-55.848	187
Sudan	15.739	29.533	19718610
State of Palestine			
Sri Lanka	7.3	80.727	4683
Spain	40.617	-3.388	391643
South Sudan	7.1	30.48	1594319
South Africa	-31.7	23.441	1460593
Somalia	2.875	43.446	11549402
Solomon Islands	-9.611	160.19	5016
Slovenia	46.037	14.534	205332
Slovakia	48.8595	19.4434	16694
Sint Maarten (Dutch part)	18.041	-63.066	24
Singapore	1.364	103.81	4219
Sierra Leone	8.677	-11.779	588042
Seychelles	-4.627	55.461	2
Serbia and Kosovo (S/RES/1244 (1999))			7017995
Senegal	15.044	-15.081	1119847
Saudi Arabia	24.191	44.32	2908365
Samoa	-13.625	-172.42	3
Saint Vincent and the Grenadines	13.234	-61.202	
Saint Lucia	13.865	-60.98	18
Saint Kitts and Nevis	17.147	-62.58	1
Rwanda	-1.887	29.904	2050634
Russian Federation	64.736	104.062	1697667
