origin,year,refugees
Western Sahara,1976,35000
Western Sahara,1977,50000
Western Sahara,1978,50000
Western Sahara,1979,50000
Western Sahara,1980,50000
Western Sahara,1981,165000
Western Sahara,1982,165000
Western Sahara,1983,165000
Western Sahara,1984,165000
Western Sahara,1985,165000
Western Sahara,1986,165000
Western Sahara,1987,165000
Western Sahara,1988,165000
Western Sahara,1989,167190
Western Sahara,1990,165000
Western Sahara,1991,165000
Western Sahara,1992,165000
Western Sahara,1993,165000
Western Sahara,1994,166493
Western Sahara,1995,165000
Western Sahara,1996,166328
Western Sahara,1997,166099
Western Sahara,1998,165967
Western Sahara,1999,165868
Western Sahara,2000,165810
Western Sahara,2001,165910
Western Sahara,2002,165884
Western Sahara,2003,165729
Western Sahara,2004,165731
Western Sahara,2005,90652
Western Sahara,2006,90614
Western Sahara,2007,116594
Western Sahara,2008,116530
Western Sahara,2009,116474
Western Sahara,2010,116415
Western Sahara,2011,116413
Western Sahara,2012,116452
Western Sahara,2013,116504
Western Sahara,2014,116482
Western Sahara,2015,116547
Western Sahara,2016,116649
Western Sahara,2017,116758
Viet Nam,1976,4000
Viet Nam,1977,9380
Viet Nam,1978,115010
Viet Nam,1979,395290
Viet Nam,1980,344428
Viet Nam,1981,312548
Viet Nam,1982,325343
Viet Nam,1983,328399
Viet Nam,1984,328095
Viet Nam,1985,326617
Viet Nam,1986,326668
Viet Nam,1987,325717
Viet Nam,1988,440379
Viet Nam,1989,456936
Viet Nam,1990,496029
Viet Nam,1991,498323
Viet Nam,1992,517111
Viet Nam,1993,527627
Viet Nam,1994,539101
Viet Nam,1995,543541
Viet Nam,1996,518340
Viet Nam,1997,476795
Viet Nam,1998,435437
Viet Nam,1999,405377
Viet Nam,2000,370758
Viet Nam,2001,353224
Viet Nam,2002,373741
Viet Nam,2003,363179
Viet Nam,2004,349803
Viet Nam,2005,358268
Viet Nam,2006,374279
Viet Nam,2007,327776
Viet Nam,2008,328183
Viet Nam,2009,339289
Viet Nam,2010,338698
Viet Nam,2011,337829
Viet Nam,2012,336939
Viet Nam,2013,314107
Viet Nam,2014,313418
Viet Nam,2015,313155
Viet Nam,2016,329351
Viet Nam,2017,334044
Various/Unknown,1976,1869311
Various/Unknown,1977,2060364
Various/Unknown,1978,1704164
Various/Unknown,1979,1730902
Various/Unknown,1980,1424300
Various/Unknown,1981,1647256
Various/Unknown,1982,1691178
Various/Unknown,1983,1826012
Various/Unknown,1984,1567876
Various/Unknown,1985,1720631
Various/Unknown,1986,1749951
Various/Unknown,1987,1767918
Various/Unknown,1988,2240629
Various/Unknown,1989,2428625
Various/Unknown,1990,2562932
Various/Unknown,1991,2241616
Various/Unknown,1992,3114574
Various/Unknown,1993,2239034
Various/Unknown,1994,1803198
Various/Unknown,1995,2166469
Various/Unknown,1996,1412810
Various/Unknown,1997,1065784
Various/Unknown,1998,1070617
Various/Unknown,1999,1236830
Various/Unknown,2000,1119372
Various/Unknown,2001,1099539
Various/Unknown,2002,289766
Various/Unknown,2003,320108
Various/Unknown,2004,351199
Various/Unknown,2005,187215
Various/Unknown,2006,246951
Various/Unknown,2007,194062
Various/Unknown,2008,190692
Various/Unknown,2009,186684
Various/Unknown,2010,167117
Various/Unknown,2011,145048
Various/Unknown,2012,132807
Various/Unknown,2013,107207
Various/Unknown,2014,101141
Various/Unknown,2015,120132
Various/Unknown,2016,138786
Various/Unknown,2017,202185
Syrian Arab Rep.,1976,
Syrian Arab Rep.,1977,
Syrian Arab Rep.,1978,
Syrian Arab Rep.,1979,500
Syrian Arab Rep.,1980,502
Syrian Arab Rep.,1981,504
Syrian Arab Rep.,1982,504
Syrian Arab Rep.,1983,526
Syrian Arab Rep.,1984,529
Syrian Arab Rep.,1985,2599
Syrian Arab Rep.,1986,534
Syrian Arab Rep.,1987,20
Syrian Arab Rep.,1988,881
Syrian Arab Rep.,1989,397
Syrian Arab Rep.,1990,2148
Syrian Arab Rep.,1991,3037
Syrian Arab Rep.,1992,4408
Syrian Arab Rep.,1993,5404
Syrian Arab Rep.,1994,7087
Syrian Arab Rep.,1995,7994
Syrian Arab Rep.,1996,8609
Syrian Arab Rep.,1997,8653
Syrian Arab Rep.,1998,8126
Syrian Arab Rep.,1999,6695
Syrian Arab Rep.,2000,5871
Syrian Arab Rep.,2001,4869
Syrian Arab Rep.,2002,18913
Syrian Arab Rep.,2003,20819
Syrian Arab Rep.,2004,21434
Syrian Arab Rep.,2005,16401
Syrian Arab Rep.,2006,12338
Syrian Arab Rep.,2007,13690
Syrian Arab Rep.,2008,15211
Syrian Arab Rep.,2009,17914
Syrian Arab Rep.,2010,18452
Syrian Arab Rep.,2011,19931
Syrian Arab Rep.,2012,729022
Syrian Arab Rep.,2013,2468332
Syrian Arab Rep.,2014,3887491
Syrian Arab Rep.,2015,4873243
Syrian Arab Rep.,2016,5524377
Syrian Arab Rep.,2017,6308619
Sudan,1976,10600
Sudan,1977,10850
Sudan,1978,10850
Sudan,1979,10850
Sudan,1980,10852
Sudan,1981,5352
Sudan,1982,5352
Sudan,1983,31002
Sudan,1984,180062
Sudan,1985,180855
Sudan,1986,132759
Sudan,1987,253166
Sudan,1988,347310
Sudan,1989,438899
Sudan,1990,523998
Sudan,1991,196242
Sudan,1992,267767
Sudan,1993,393871
Sudan,1994,405135
Sudan,1995,445280
Sudan,1996,475305
Sudan,1997,364589
Sudan,1998,390013
Sudan,1999,485460
Sudan,2000,494363
Sudan,2001,489950
Sudan,2002,508877
Sudan,2003,606242
Sudan,2004,730641
Sudan,2005,693632
Sudan,2006,686311
Sudan,2007,523032
Sudan,2008,419248
Sudan,2009,368195
Sudan,2010,387288
Sudan,2011,500014
Sudan,2012,568943
Sudan,2013,648942
Sudan,2014,665967
Sudan,2015,627087
Sudan,2016,650640
Sudan,2017,694506
South Sudan,1976,
South Sudan,1977,
South Sudan,1978,
South Sudan,1979,
South Sudan,1980,
South Sudan,1981,
South Sudan,1982,
South Sudan,1983,
South Sudan,1984,
South Sudan,1985,
South Sudan,1986,
South Sudan,1987,
South Sudan,1988,
South Sudan,1989,
South Sudan,1990,
South Sudan,1991,
South Sudan,1992,
South Sudan,1993,
South Sudan,1994,
South Sudan,1995,
South Sudan,1996,
South Sudan,1997,
South Sudan,1998,
South Sudan,1999,
South Sudan,2000,
South Sudan,2001,
South Sudan,2002,
South Sudan,2003,
South Sudan,2004,
South Sudan,2005,
South Sudan,2006,
South Sudan,2007,
South Sudan,2008,
South Sudan,2009,
South Sudan,2010,
South Sudan,2011,1
South Sudan,2012,87009
South Sudan,2013,114470
South Sudan,2014,616211
South Sudan,2015,778718
South Sudan,2016,1436719
South Sudan,2017,2439868
Somalia,1976,50
Somalia,1977,60
Somalia,1978,90
Somalia,1979,90
Somalia,1980,134
Somalia,1981,34
Somalia,1982,118
Somalia,1983,39
Somalia,1984,639
Somalia,1985,1830
Somalia,1986,3142
Somalia,1987,60162
Somalia,1988,351993
Somalia,1989,360309
Somalia,1990,470174
Somalia,1991,732594
Somalia,1992,797120
Somalia,1993,574617
Somalia,1994,631426
Somalia,1995,638698
Somalia,1996,636985
Somalia,1997,608094
Somalia,1998,557959
Somalia,1999,524613
Somalia,2000,475655
Somalia,2001,440134
Somalia,2002,432316
Somalia,2003,402336
Somalia,2004,389300
Somalia,2005,395553
Somalia,2006,464037
Somalia,2007,457356
Somalia,2008,561155
Somalia,2009,678309
Somalia,2010,770154
Somalia,2011,1077048
Somalia,2012,1136719
Somalia,2013,1121770
Somalia,2014,1106434
Somalia,2015,1123156
Somalia,2016,1012323
Somalia,2017,986356
Rwanda,1976,176410
Rwanda,1977,169780
Rwanda,1978,175110
Rwanda,1979,176540
Rwanda,1980,286651
Rwanda,1981,277011
Rwanda,1982,327951
Rwanda,1983,321761
Rwanda,1984,357111
Rwanda,1985,376521
Rwanda,1986,371911
Rwanda,1987,353441
Rwanda,1988,327539
Rwanda,1989,319501
Rwanda,1990,361322
Rwanda,1991,431240
Rwanda,1992,434736
Rwanda,1993,450462
Rwanda,1994,2257573
Rwanda,1995,1819366
Rwanda,1996,469136
Rwanda,1997,68003
Rwanda,1998,77743
Rwanda,1999,88944
Rwanda,2000,119056
Rwanda,2001,84513
Rwanda,2002,75257
Rwanda,2003,75263
Rwanda,2004,63804
Rwanda,2005,100264
Rwanda,2006,92966
Rwanda,2007,80964
Rwanda,2008,72530
Rwanda,2009,129109
Rwanda,2010,115524
Rwanda,2011,106833
Rwanda,2012,97373
Rwanda,2013,83955
Rwanda,2014,79408
Rwanda,2015,286366
Rwanda,2016,286073
Rwanda,2017,258956
Palestinian,1976,3200
Palestinian,1977,
Palestinian,1978,
Palestinian,1979,
Palestinian,1980,
Palestinian,1981,
Palestinian,1982,9800
Palestinian,1983,9110
Palestinian,1984,
Palestinian,1985,31642
Palestinian,1986,52704
Palestinian,1987,2004
Palestinian,1988,5014
Palestinian,1989,8041
Palestinian,1990,8521
Palestinian,1991,65177
Palestinian,1992,95343
Palestinian,1993,81474
Palestinian,1994,82564
Palestinian,1995,72768
Palestinian,1996,80215
Palestinian,1997,76821
Palestinian,1998,77524
Palestinian,1999,100602
Palestinian,2000,110640
Palestinian,2001,349161
Palestinian,2002,428782
Palestinian,2003,350568
Palestinian,2004,349831
Palestinian,2005,349673
Palestinian,2006,334142
Palestinian,2007,341237
Palestinian,2008,340016
Palestinian,2009,95201
Palestinian,2010,93323
Palestinian,2011,94150
Palestinian,2012,94918
Palestinian,2013,96044
Palestinian,2014,97212
Palestinian,2015,98018
Palestinian,2016,97796
Palestinian,2017,99585
Myanmar,1976,
Myanmar,1977,
Myanmar,1978,160000
Myanmar,1979,
Myanmar,1980,
Myanmar,1981,
Myanmar,1982,
Myanmar,1983,
Myanmar,1984,
Myanmar,1985,
Myanmar,1986,
Myanmar,1987,
Myanmar,1988,7
Myanmar,1989,4
Myanmar,1990,28
Myanmar,1991,40053
Myanmar,1992,245130
Myanmar,1993,281574
Myanmar,1994,204510
Myanmar,1995,152298
Myanmar,1996,143017
Myanmar,1997,135772
Myanmar,1998,133407
Myanmar,1999,131663
Myanmar,2000,137128
Myanmar,2001,145856
Myanmar,2002,148501
